Empresas Faltantes
Banrisul Cartões S.A.
Barcelona Comércio Varejista e Atacadista S.A.
Bari Securitizadora S.A.
Embpar Participações S.A.
BB Elo Cartões Participações S.A.
BB Mapfre Participações S.A.
Bahia Holding S.A.
BCI - Brasil China Importadora S.A.
BCLV Comércio de Veículos S.A.
BCMD Participações S.A.
Bartofil Distribuidora S.A.
Belloni Investimento S.A.
Totvs Large Enterprise Tecnologia S.A.
"Bertol S.A. Indústria, Comércio e Exportação"
Best Administração de Bens S.A.
Alvoar Lácteos Nordeste S.A.
Bettanin S.A.
Bgpar S.A.
Fontaine Ville Participações S.A.
"Bianchini S.A. Indústria, Comércio e Agricultura"
Binatural Energias Renováveis S.A.
Bionovis S.A. - Companhia Brasileira de Biotecnologia Farmacêutica
"Biopalma da Amazônia S.A. Reflorestamento, Indústria e Comércio"
Raizen Centro-Sul S.A.
Biotoscana Investments S.A.
Zamp S.A.
Blau Farmacêutica S.A.
BMG Seguros S.A.
Santo Antônio do Bonsucesso Participações Societárias S.A.
Vamos Máquinas e Equipamentos S.A.
BP Biocombustíveis S.A.
Itumbiara Bioenergia S.A.
Tropical Bioenergia S.A.
"BP Trading Comercial, Importadora e Exportadora S.A."
BR Home Centers S.A.
Bracom Veículos e Peças S.A.
Brado Holding S.A.
Brainfarma Indústria Química e Farmacêutica S.A.
"Brandão Filhos S.A. Comércio, Indústria e Lavoura"
Brasbunker Participações S.A.
Brasif S.A. Exportação xmportação
Nexpe Participações S.A.
Banco Genial S.A.
V.tal - Rede Neutra de Telecomunicações S.A.
Brasmotor Ltda.
Brazil Energy S.A.
Brazill Realty - Companhia Securitizadora de Créditos Imobiliários
CF X Logística S.A.
Brenco - Companhia Brasileira de Energia Renovável
Brinox Metalúrgica S.A.
GS Inima Industrial Jeceaba S.A.
BRK Ambiental - Rio Claro S.A.
BRK Ambiental - Rio das Ostras S.A.
Brookfield Brasil Shopping Centers Participações S.A.
Elera Renováveis Minas Gerais S.A.
Elera Renováveis Participações S.A.
Elera Renováveis S.A.
TG Rio de Janeiro Empreendimentos Imobiliários S.A.
TG São Paulo Empreendimentos Imobiliários S.A.
BRZ Empreendimentos e Construções S.A.
BRZ Investimentos S.A.
BSB Produtora de Equipamentos de Proteção Individual S.A.
BSP Empreendimentos Imobiliários S.A.
BTG Pactual Holding International S.A.
BTG Pactual Resseguradora S.A.
BTG Pactual Holding de Participações S.A.
C.M. Participações S.A.
Carbon Holding Financeira S.A.
"Caenge S.A. Construção, Administração e Engenharia"
CNP Capitalização S.A.
Caixa Seguradora Especializada em Saúde S.A.
Cálamo Distribuidora de Produtos de Beleza S.A.
Hospital Care Caledônia S.A.
Caltabiano McLarty Participações S.A.
Camargo Corrêa Infra Ltda.
Sucea Participações S.A.
Camil Alimentos S.A.
"Campos Elíseos, Participação, Empreendimentos e Administração S.A."
Casa & Vídeo Brasil S.A.
R&F Comércio e Serviços S.A.
Casa de Saúde Santa Marcelina
CSS Consultas S.A.
"Casa Granado Laboratórios, Farmácias e Drogarias S.A."
Casarita Participações S.A.
Castrolanda - Cooperativa Agroindustrial Ltda.
Cateno Gestão de Contas de Pagamento S.A.
Cattalini Terminais Marítimos S.A.
C.B.S. Médico Científica S.A.
CCAB Agro S.A.
Sincro Participações S.A.
CCI Concessões e Construções de Infraestrutura S.A.
Neoenergia Distribuição Brasília S.A.
C.I.I.B - Centro de Integração Industrial Brasileira Ltda.
Celeo Redes Transmissão de Energia S.A.
EDP Transmissão Goiás S.A.
Cemec Construções Eletromecânicas S.A.
Centennial Asset Participações Minas-Rio S.A.
"Center Norte S.A. - Construção, Empreendimentos, Administração e Participação"
Energisa Rondônia – Distribuidora de Energia S.A.
Alliança Saúde e Participações S.A.
Centro Nacional de Tecnologia Eletrônica Avançada S.A.
Central Espumosense de Produtos Agropecuários S.A.
Cetrel S.A.
China Brasil Tabacos Exportadora S.A.
Cibe Investimento e Participações S.A.
Virgo II Companhia de Securitização
Cielo S.A. – Instituição de Pagamento
Clube Serviços Administração e Participações S.A.
"CMA Consultoria, Métodos, Assessoria e Mercantil S.A."
"CMOC Brasil Mineração, Indústria e Participações Ltda."
Coamo Agroindustrial Cooperativa
"Cobra Brasil Serviços, Comunicações e Energias S.A."
BB Tecnologia e Serviços S.A.
Cocal Comércio Indústria Canaã Açúcar e Álcool S.A.
Cocamar Cooperativa Agroindustrial
Columbia Distribuidora S.A.
Combrashop - Companhia Brasileira de Shopping Centers
CVC Imobiliária S.A.
Comfloresta Companhia Catarinense de Empreendimentos Florestais
Commandery Participações S.A.
Alelo Instituição de Pagamento S.A.
Companhia Carioca de Securitização S.A.
Companhia Celg de Participações - Celgpar
Companhia Comercial de Imóveis
Companhia de Desenvolvimento de Minas Gerais - Codemge
""
Companhia de Gás do Estado de Mato Grosso do Sul
Companhia de Gás de Minas Gerais - Gasmig
Companhia de Habitação da Baixada Santista
Companhia de Mineração Serra da Farofa Cefar
Companhia de Obras e Infra-Estrutura
Companhia de Saneamento Básico do Estado de São Paulo Sabesp
Brasilseg Companhia de Seguros
Companhia de Seguros Previdência do Sul
"Companhia de Serviço de Água, Esgoto e Resíduos de Guaratinguetá - Saeg"
Companhia de Tecnologia da Informação do Estado de Minas Gerais
GDL Transportes e Armazéns Gerais S.A.
Companhia do Metrô da Bahia
Companhia Docas do Ceará
Autoridade Portuária de Santos S.A.
Companhia Energética Candeias S.A.
Equatorial Alagoas Distribuidora de Energia S.A.
Equatorial Piauí Distribuidora de Energia S.A.
Companhia Energética Estreito
Companhia Estadual de Distribuição de Energia Elétrica - CEEE-D
Companhia Estadual de Habitação e Obras
Companhia Excelsior de Seguros
Minasligas S.A.
Companhia Itaunense Energia e Participações
Alpek Polyester Brasil S.A.
Companhia Paulista de Força e Luz
Alpek Polyester Pernambuco S.A.
Copenor Companhia Petroquímica do Nordeste
Companhia Reny de Participações
Companhia Riograndense de Saneamento
Companhia Zaffari Comércio e Indústria
Compar - Companhia Paraense de Refrigerantes
ICL América do Sul S.A.
Conasa Infraestrutura S.A.
Eco050 – Concessionária de Rodovias S.A.
Concessionária do Aeroporto Internacional de Guarulhos S.A.
Pking Participacoes Ltda.
Concessionária Litoral Norte S.A. - CLN
Concessionária Move São Paulo S.A.
Dock Tecnologia S.A.
Cone S.A.
Ademicon Participações S.A.
Construtora Central do Brasil S.A.
Construtora Colares Linhares S.A.
Agis Construção S.A.
CNO S.A.
Construtora Paulo Taufik Camasmie S.A.
Álya Construtora S.A.
Cooperativa Agrícola Mista de Adamantina
Lar Cooperativa Agroindustrial
Cooperativa dos Plantadores de Cana do Estado de São Paulo
Cooperativa Tritícola Sarandi Ltda.
Coopercitrus Cooperativa de Produtores Rurais
Copacol - Cooperativa Agroindustrial Consolata
Copa Energia Distribuidora de Gás S.A.
Ligga Telecomunicações S.A.
Copérnico Participações S.A.
Coplana - Cooperativa Agroindustrial
COR Brasil Indústria e Comércio S.A.
Cosan Lubrificantes e Especialidades S.A.
Cosan S.A.
Costa Sul Pescados S.A.
Cotai S.A. Investimentos e Participações
Coteminas S.A.
CPFL Comercialização Brasil S.A.
"CPFL Serviços, Equipamentos, Indústria e Comércio S.A."
CQG Construções Offshore S.A.
Fica Empreendimentos Imobiliários S.A.
"Crefisa S.A. Crédito, Financiamento e Investimentos"
Companhia de Cimento Campeão Alvorada S.A.
Criperg Participações S.A.
Cruzeiro do Sul Educacional S.A.
CSN Energia S.A.
Arcelormittal Pecém S.A.
CSU Digital S.A.
Cyrela Brazil Realty S.A. Empreendimentos e Participações
SYN Prop & Tech S.A.
Clark Material Handling Brasil S.A.
"Dacasa Financeira S.A. Sociedade de Crédito, Financiamento e Investimento"
Dan Hebert Engenharia S.A.
Dargos Participações S.A.
Dass Nordeste Calçados e Artigos Esportivos S.A.
DayPrev Vida e Previdência S.A.
DBR Comércio de Artigos do Vestuário S.A.
DC Energia e Participações S.A.
DDP Participações S.A.
Dedini S.A. Indústrias de Base
Deere-Hitachi Máquinas de Construção do Brasil S.A.
Bandeirantes Deicmar Logística Integrada S.A.
Delta Sucroenergia S.A.
Demercado Investimentos S.A.
Dental Cremer Produtos Odontológicos S.A.
Destro Participações S.A.
Disal Distribuidores Associados de Livros S.A.
Distribuidora Big Benn S.A.
Dixer Distribuidora de Bebidas S.A.
Doado S.A. Participações
Dobrevê Participações S.A.
Docas Investimentos Ltda.
Dominó Holdings S.A.
Prio Forte S.A.
MCM Cimentos S.A.
Drogaria Araújo S.A.
Drogaria Mais Econômica S.A.
Corteva Agriscience do Brasil Ltda.
Dulcini S.A.
Dexco S.A.
Nu Invest Corretora de Valores S.A.
"Ebisa Engenharia Brasileira, Indústria e Saneamento S.A."
"ECIA Irmãos Araújo Engenharia, Comércio S.A."
ECM Participações S.A.
Ecoaqua Soluções S.A.
Ecogen Brasil Soluções Energéticas S.A.
Ecom Energia Holding S.A.
Ecorodovias Infraestrutura e Logística S.A.
Ecourbis Ambiental S.A.
Ectas Holding S.A.
Edificações Itaigara S.A.
Editora CNA Cultural Norte Americano S.A.
Editora Schwarcz S.A.
EDN - Estireno do Nordeste S.A.
EDP - Trading Comercialização e Serviços de Energia S.A.
EDP - Energias do Brasil S.A.
Cemig Soluções Inteligentes em Energia S.A.
Holding do Araguaia S.A.
EIT Engenharia S.A.
Elebrás Projetos S.A.
"Eletronuclear S.A,"
Centrais Elétricas de Carazinho S.A. - Eletrocar
Eletromídia S.A.
Elevadores Atlas Schindler Ltda.
Elfe Operação e Manutenção S.A.
"Elquatrix Participações, Investimentos, Administração de Bens e Imóveis S.A."
Alvoar Lácteos S.A.
Embramaco - Empresa Brasileira de Materiais para Construção S.A.
Embratel Tvsat Telecomunicações S.A.
Empresa Baiana de Águas e Saneamento S.A. - Embasa
Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais
Empresa de Mecanização Rural Ltda.
Empresa de Ônibus Pássaro Marron S.A.
Empresa de Pesquisa Energética - EPE
Empresa de Tecnologia e Informações da Previdência - Dataprev S.A.
Empresa de Turismo da Bahia S.A.
Empresa de Turismo de Pernambuco Governador Eduardo Campos - Empetur
Empresa Estadual de Pesquisa Agropecuária da Paraíba S.A. - Emepa-PB
Metropolitana Empresa de Transporte Coletivo S.A.
"Emusa - Empresa Municipal de Moradia, Urbanização e Saneamento"
Energimp S.A.
"Engebras S.A. Indústria, Comércio e Tecnologia de Informática"
Nova Engevix Construções e Montagens S.A.
Nova Engevix Engenharia e Projetos S.A.
Enops Engenharia S.A.
"Equipav S.A. Pavimentação, Engenharia e Comércio"
ESBR Participações S.A.
Solvi Essencis Ambiental S.A.
YDUQS Participações S.A.
Estaleiro Mauá S.A.
Esteio Engenharia e Aerolevantamentos S.A.
Estreito Energia S.A.
Extrafruti S.A. - Comércio de Hortifrutigranjeiros
"Ezentis - Serviços, Engenharia e Instalação de Comunicações S.A."
F. AB. Zona Oeste S.A.
F.A. Comércio e Participações S.A.
"F.V. de Araujo S.A.- Madeiras, Agricultura, Indústria e Comércio"
Fabrimar S.A. Indústria e Comércio
Faculdades Católicas
Fadel Holding S.A.
FAE - Administração e Participações S.A.
FAE Sistemas de Medição S.A.
"Falcon Distribuidora, Armazenamento e Transporte S.A."
Fasa América Latina Participações Societárias S.A.
Faurecia Emissions Control Technologies do Brasil S.A.
FCA Fiat Chrysler Participações Brasil S.A.
Auzza Securitizadora S.A.
Tapajós Participações S.A.
Fiação e Tecelagem São José S.A.
Fibrasa S.A. Embalagens
"DM Financeira S.A.- Crédito, Financiamento e Investimento"
"Flecha S.A. Turismo, Comércio e Indústria"
Florespar Florestal S.A.
Fonte Nova Negócios e Participações S.A.
Formale Indústria e Comércio Ltda.
Fortbras Autopeças S.A.
Vellore S.A.
FGP - Gestão Patrimonial S.A.
Frigol S.A.
"Fundação de Assistência, Estudo e Pesquisa de Uberlândia"
"Fundação Coordenação de Projetos, Pesquisas e Estudos Tecnológicos Coppetec"
Fundação Dom Cabral
Fundação Faculdade de Medicina - FFM
Fundação Instituto de Ensino Para Osasco
AZBR IF Holding S.A.
Futuro - Previdência Privada
G. Dias Participações S.A.
Gaia Impacto Securitizadora S.A.
Planeta Securitizadora S.A.
"GICS Indústria, Comércio e Serviços S.A."
Gboex - Grêmio Beneficente
General Shopping e Outlets do Brasil S.A.
Geopar - Geosol Participações S.A.
Ruge Securitizadora de Créditos Financeiros S.A.
Gestamp Wind Steel Pernambuco S.A.
Gestores Prisionais Associados S.A.
Ghella S.P.A. do Brasil
Viterra Bioenergia S.A.
Viterra Brasil S.A.
Global Participações em Energia S.A.
Globalbev Bebidas e Alimentos S.A.
Globo S.A.
Goemil S.A. Indústria de Produtos Alimentícios
"GP Investments, Ltd."
GPS Investimentos Financeiros e Participações S.A.
"Gran Coffee Comércio, Locação e Serviços S.A."
"Granjas 4 Irmãos S.A. Agropecuária, Indústria e Comércio"
"Granol Indústria, Comércio e Exportação S.A."
Granotec do Brasil S.A. Nutrição e Biotecnologia
Gratia S.A. Administração e Participações
Grupo Soma S.A. Participações e Negócios
GSM Administração e Participação S.A.
Aço Verde do Brasil S.A.
"Gutierrez, Paula, Munhoz S.A. Construção Civil"
Rodobens S.A.
"Gypsum S.A. Mineração, Indústria e Comércio"
Harpia Sistemas S.A.
Orizon Valorização de Resíduos S.A.
Orizon Meio Ambiente S.A.
HC Pneus S.A.
"Hélio Borenstein S.A. Administração, Participação e Comércio"
Hesa 159 Investimentos Imobiliários Ltda.
Weg Turbinas e Solar Ltda.
Hospital Esperança S.A.
Hotelaria Accorinvest Brasil S.A.
Houston do Nordeste S.A.
Banco HSBC S.A.
Ibenvest - Irani Bertolini Investimentos e Participações S.A.
Ibitiúva Bioenergética S.A.
ICBC do Brasil Banco Múltiplo S.A.
Icon S.A. Equipamentos e Moldes
Padtec Holding S.A.
"IESA - Projetos, Equipamentos e Montagens S.A."
Iguaçu Diesel e Pneus S.A.
Romi S.A.
Infibra S.A.
Inframerica Concessionária do Aeroporto de Brasília S.A.
Inframerica Participações S.A.
Inmetrics S.A.
Inova Gestão de Serviços Urbanos S.A.
Elumini S A.
Insolo Agroindustrial S.A.
Instituto Brasil Saúde
Falconi Consultores S.A.
Instituto de Medicina Integral Professor Fernando Figueira - IMIP
Intercroma S.A.
Kovr Capitalização S.A.
Kovr Seguradora S.A.
Kovr Previdência S.A.
Irmandade da Santa Casa de Misericórdia de Porto Alegre
Irmãos Luchini S.A. - Comercial Auto Peças
"Irmãos Trevisan S.A. Indústria, Comércio e Agricultura"
ISA Irati S.A. Administração e Participações
ISCP - Sociedade Educacional S.A.
Gemini Energy S.A.
Virgo Companhia de Securitização
Itaguaí Construções Navais S.A.
Itapoá Terminais Portuários S.A.
Itatiaia Eletro e Móveis S.A.
JPar - Distribuidora de Veículos Ltda.
"J. Macêdo S.A. Comércio, Administração e Participações"
Companhia Paranaense de Construção S.A.
"J.A.C. Empreendimentos, Participações e Negócios S.A."
J.L. Braz Participações S.A.
J.Pilon S.A. Açúcar e Álcool
Jadlog Logística S.A.
"Jari Celulose, Papel e Embalagens S.A."
José Celso Gontijo Engenharia S.A.
JCPM Shopping Centers S.A.
Comfrio Food Service Ltda.
JM Participações S.A.
JNZ Participações S.A.
"JPMorgan Chase Bank, National Association"
JPSP Investimentos e Participações Ltda.
Juli Participações S.A.
Júlia Adam Empresa de Mineração e Águas S.A.
"Jumil - Justino de Morais, Irmãos S.A."
Juno Participações e Investimentos S.A.
Hydria Participações e Investimentos S.A.
Kalunga S.A.
Karagounis Participações S.A.
Mogno das Alterosas Investimentos Florestais S.A.
Kley Hertz Farmacêutica S.A.
Krona Tubos e Conexões S.A.
Cogna Educação S.A.
Kuhn do Brasil S.A. Implementos Agrícolas
Kuhn do Brasil S.A.
Laboratório Bio-Vet Ltda.
LaboratLrio Catarinense S.A.
Laboratórios B. Braun S.A.
CSN Cimentos Brasil S.A.
Laime Participações S.A.
Lakeland Brasil S.A.
Latipar Investimentos e Participações S.A.
Leader S.A. Administradora de Cartões de Crédito
Lemanski Participações S.A.
"Leo Madeiras, Máquinas e Ferragens S.A."
Let´s Rent a Car S.A.
CenturyLink Comunicações do Brasil Ltda.
Levine Participações S.A.
Libra Holding Ltda.
Ictsi Rio Brasil Terminal 1 S.A.
Megara Empreendimentos e Participações Ltda.
Líder Rio Imobiliária S.A.
Ecogen Rio Soluções Energéticas S.A.
Linck Máquinas S.A.
Linhares Geração S.A.
Linhas de Macapá Transmissora de Energia S.A.
Linhas de Transmissão do Itatim S.A.
ATMA Participações S.A.
LKL Participações S.A.
"Log & Print Gráfica, Dados Variáveis e Logística S.A."
LOG Commercial Properties e Participações S.A.
Logz - Logística Brasil S.A.
CVLB Brasil S.A.
LS Holding S.A.
LS Son's Administração e Participações S.A.
LSM Brasil S.A.
M&G Poliéster S.A.
MadeiraMadeira Comércio Eletrônico S.A.
Magazine Luiza S.A.
Maisonnave Companhia de Participações
Manausgás S.A.
Manserv Montagem e Manutenção S.A.
Mantova Investimentos S.A.
Manupackaging Fitasa do Brasil S.A.
MAPFRE Seguros Gerais S.A.
Maranata Participações S.A.
Margem Companhia de Mineração
Maricondi Participações S.A.
Marisol Vestuário S.A.
"Marsam Metais S.A. Mineração, Comércio e Exportação"
"Martifer Renováveis, Geração de Energia e Participações S.A."
Prima Foods S.A.
Matrix Comercializadora de Energia Elétrica S.A.
"Mectron Engenharia, Indústria e Comércio S.A."
Medicina Diagnóstica MD Center S.A.
Notre Dame Intermédica Minas Gerais Saude S.A.
Medise Medicina Diagnóstico e Serviços S.A.
Mediservice Operadora de Planos de Saúde S.A.
Melnick Desenvolvimento Imobiliário S.A.
Mercado Eletrônico S.A.
Metalúrgica Bitury Participações S.A.
Metalúrgica Valença Indústria e Comércio Ltda.
Mevamoga Participações S.A.
REC SS Santo André Empreendimentos S.A.
"Mills Locação, Serviços e Logística S.A."
Mineração Corumbaense Reunida S.A.
Superbac Indústria e Comércio de Fertilizantes S.A.
Mizha Energia Participações S.A.
MNLT S.A.
Mogiana Alimentos S.A.
Moinhos Cruzeiro do Sul S.A.
Monemvasia Participações S.A.
Morena Rosa Indústria e Comércio de Confecções S.A.
MTC Realty Participações S.A.
Mueller Participações S.A.
Multidisplay Comércio e Serviços Tecnológicos Ltda.
Multigrain Comércio Ltda.
Multilaser Industrial S.A.
"Multisetor Comércio, Indústria e Participações S.A."
Multiterminais S.A.
Nardini Agroindustrial Ltda.
State Street Brasil S.A. - Banco Comercial
Naudin Participações S.A.
Neobpo Serviços de Processos de Negócios e Tecnologia S.A.
Netuno Alimentos S.A.
Plenus Biorefinaria S.A.
Claro NXT Participações Ltda.
Claro NXT Telecomunicações S.A.
Niblak Participações S.A.
NJH Administração e Participações S.A.
Norskan Offshore S.A.
Nova Pirajuí Administração S.A.
Novo Banco Continental S.A. - Banco Múltiplo
Nu Pagamentos S.A. - Instituição de Pagamento
Sumitomo Chemical do Brasil Indústria Química S.A.
Idemia do Brasil Soluções e Serviços de Tecnologia Ltda.
Obra Social Cristo Rei
CBO Holding S.A.
Atvos Agroindustrial S.A.
Novonor Ambiental Participações S.A.
Novonor Ambiental S.A.
Novonor Energia do Brasil S.A.
Novonor Energia S.A.
OECI S.A.
Odebrecht Engenharia e Construção S.A.
OTP Mobilidade S.A.
Novonor Participações e Engenharia S.A.
Novonor Participações e Investimentos S.A.
OTP Rodovias S.A.
Novonor S.A.
OEC Serviços de Exportação S.A.
Novonor Serviços e Participações S.A.
OTP S.A.
Oenger S.A.
Sisnergy - Soluções e Sistemas Integrados Ltda.
Officer S.A. Distribuidora de Produtos de Informática
Oi Internet S.A.
Oi Móvel S.A.
Oi S.A.
OKI Brasil Indústria e Comércio de Produtos e Tecnologia em Automação S.A.
Olfar S.A. - Alimento e Energia
Oliveira Trust Participações S.A.
OMNI Táxi Aéreo S.A.
Onco Prod Distribuidora de Produtos Hospitalares e Oncológicos S.A.
Organizações Globo Participações S.A.
Orly Veículos e Peças S.A.
Orsa International Paper Embalagens da Amazônia Ltda.
Ore Securitizadora S.A.
Ouro Fino Participações e Empreendimentos S.A.
Ouro Fino Química S.A.
Ouro Fino Saúde Animal Participações S.A.
Unidas Locações e Serviços S.A.
P.B.F. S.A. Empreendimentos e Participações
Paços de Ferreira Participações e Empreendimentos S.A.
PagSeguro Internet Instituição de Pagamento S.A.
Papirus IndIstria de Papel S.A.
Paraguassu Veículos S.A.
Paraná Clínicas - Planos de Saúde S.A.
Participações Industriais do Nordeste S.A.
Confianza Securitizadora S.A.
Patrimar Engenharia S.A.
Pecém II Geração de Energia S.A.
"Pedertractor Indústria e Comércio de Peças, Tratores e Serviços S.A."
"Perfilor S.A. Construções, Indústria e Comércio"
Pet Center Comércio e Participações S.A.
Petribu Participações S.A.
Prio S.A.
Vibra Energia S.A.
PIE-RP Comercializadora de Energia S.A.
Pilon Participações e Empreendimentos S.A.
Pimenta Verde Alimentos Ltda.
Pinhalense S.A. - Máquinas Agrícolas
"Plantar S.A. Planejamento, Técnica e Administração de Reflorestamentos"
Gelf Siderúrgica S.A.
Polo Indústria e Comércio S.A.
Portonave S.A. - Terminais Portuários de Navegantes
Krasis Participações S.A.
Prática Klimaquip Indústria e Comércio S.A.
Predial Bier Ullmann S.A.
PJML Participações S.A.
BS2 Seguros S.A.
Prime Infraestrutura S.A.
Produman Engenharia S.A.
Produtores Energéticos de Manso S.A. - Proman
Progen S.A.
Progresso e Desenvolvimento de Guarulhos S.A.
Promob Softwares S.A.
Timbaúba S.A.
Ibitu Energética S.A.
Enauta Energia S.A.
Queiroz Galvão Tecnologia em Defesa e Segurança Ltda.
Questa Holding S.A.
"R&D Comércio, Importação, Exportação e Indústria de Materiais Elétricos S.A."
Raízen S.A.
Ramot S.A.
Rap9 Empreendimentos Imobiliários Ltda.
FZ 7 Logística S.A.
Rasip Agro Pastoril Ltda.
Opea Securitiizadora S.A.
Grupo de Moda Soma S.A.
Real Estate Pernambuco S.A.
Rec São Bernardo S.A.
Recreio Vitória Veículos S.A.
"Rede Âncora - SP Importadora, Exportadora e Distribuidora de Auto Peças S.A."
"Rede Âncora-SC Importadora, Exportadora e Distribuidora de Auto Peças S.A."
Redecard Instituição de Pagamento S.A.
"Redecop S.A. Indústria, Comércio, Importação e Exportação"
Renault do Brasil S.A.
Digimais Participações S.A.
Renuka Vale do Ivaí S.A.
Veste S.A. Estilo
RET Participações Ltda.
Rio Alto Gestão de Créditos e Participações S.A.
WS Engenharia e Manutenção de Aeronaves S.A.
Riograndense Participações S.A.
Ritmo Logística S.A.
RJCP Equity S.A.
RM - Rede Moura Participações S.A.
Rock World S.A.
Caxangá Empresa de Transporte Coletivo S.A.
"Rodrimar S.A. Transportes, Equipamentos Industriais e Armazéns Gerais"
"Rominor - Comércio, Empreendimentos e Participações S.A."
2W Ecobank S.A.
RRB Empreendimentos e Participações S.A.
RTGM Participações e Empreendimentos S.A.
SAAM Towage Brasil S.A.
Saga Brasil Administração e Participações S.A.
Verallia Brasil S.A.
Salvador Norte Shopping S.A.
Samedil - Serviços de Atendimento Médico S.A.
Samsung SDS Global SCL Latin América Logística Ltda.
Sancor Seguros do Brasil S.A.
Sandene S.A.
Sanes Brasil Agroindustrial S.A.
Sansuy S.A. Indústria de Plásticos
TPL Terminal Portuário Logístico S.A.
Humana Saúde Sul Ltda.
Santana Administração e Participações S.A.
"Santander Corretora de Seguros, Investimentos e Serviços S.A."
"Santander S.A. - Serviços Técnicos, Administrativos e de Corretagem de Seguros"
S3 Caceis Brasil Participações S.A.
São Eutiquiano Participações S.A.
São João Energética S.A.
Saphyr Holdco Serviços de Shopping Centers S.A.
Saraiva Livreiros S.A.
"Sasazaki Participações, Empreendimentos e Comércio S.A."
Sascar Tecnologia e Segurança Automotiva S.A.
"Saveiros, Camuyrano - Serviços Marítimos S.A."
SCCI – Securitizadora de Créditos Imobiliários S.A.
Scomi Engineering BHD
SDV Administradora de Shopping Centers S.A.
Subsea 7 Serviços Offshore S.A.
Secil Brasil Participações S.A.
Seguradora Líder do Consórcio do Seguro DPVAT S.A.
Inncorp S.A.
Sendas Distribuidora S.A.
Sequoia Logística e Transportes S.A.
Companhia de Tecnologia e Desenvolvimento S.A.
Serveng Civilsan S.A. Empresas Associadas de Engenharia
Serviço Federal de Processamento de Dados - Serpro
Serviços de Petróleo Constellation Participações S.A.
Serviços e Tecnologia de Pagamentos S.A.
Elastri Engenharia S.A.
Setta Combustíveis S.A.
SGA Veículos e Peças S.A.
Ask Crios Produtos Químicos do Brasil S.A.
